epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2932.2,0.89318,0.95792,1.21234,0.96145,1,0.995,0.86089,0.54719,1.16773,1.00846,0.000576013,0.000576013,0.000576013
43,3000.3,0.71068,0.86007,1.06895,0.96103,1,0.995,0.8627,0.53897,1.10144,0.98767,0.000555209,0.000555209,0.000555209
44,3067.95,0.68367,0.8403,1.07439,0.97458,0.99737,0.99375,0.86823,0.51976,1.0287,0.96421,0.000534404,0.000534404,0.000534404
45,3133.11,0.77977,0.92529,1.18727,0.97506,0.98148,0.99202,0.84901,0.5493,1.03327,0.9712,0.000513599,0.000513599,0.000513599
46,3195.75,0.697,0.81736,1.1033,0.97535,0.99631,0.99375,0.85997,0.53474,0.9742,0.96279,0.000492795,0.000492795,0.000492795
47,3259.78,0.66795,0.82432,1.05412,0.97812,0.9987,0.99446,0.8773,0.50586,0.96968,0.95529,0.00047199,0.00047199,0.00047199
48,3321.83,0.67768,0.83087,1.09035,0.97779,1,0.995,0.86977,0.52715,1.03542,0.9914,0.000451186,0.000451186,0.000451186
49,3382.84,0.62601,0.77504,1.04901,0.99122,1,0.995,0.86886,0.54758,1.0773,1.01146,0.000430381,0.000430381,0.000430381
50,3445.77,0.70884,0.80703,1.04665,0.99726,1,0.995,0.87807,0.56922,1.08761,1.01843,0.000409577,0.000409577,0.000409577
51,3508.18,0.67633,0.81782,1.10723,0.99587,1,0.995,0.86015,0.5819,1.11178,1.01637,0.000388772,0.000388772,0.000388772
52,3576.65,0.69208,0.84531,1.10411,0.99355,0.99982,0.995,0.87984,0.54679,0.98556,1.01751,0.000367967,0.000367967,0.000367967
53,3641.38,0.67248,0.74848,1.07749,0.99298,1,0.995,0.8729,0.55901,0.96115,1.03955,0.000347163,0.000347163,0.000347163
54,3709.5,0.69924,0.87236,1.08887,0.9934,1,0.995,0.87742,0.54668,0.93381,1.02334,0.000326358,0.000326358,0.000326358
55,3776.5,0.74535,0.8596,1.14596,0.99401,1,0.995,0.88603,0.52273,0.89366,1.00807,0.000305554,0.000305554,0.000305554
56,3844.47,0.66084,0.67089,1.05822,0.99511,1,0.995,0.88414,0.48963,0.87414,0.95421,0.000284749,0.000284749,0.000284749
57,3913.1,0.67728,0.81603,1.10246,0.9959,1,0.995,0.89012,0.49185,0.8935,0.94075,0.000263945,0.000263945,0.000263945
58,3981.29,0.63674,0.75434,1.01564,0.996,1,0.995,0.8933,0.51145,0.89554,0.95834,0.00024314,0.00024314,0.00024314
59,4049.59,0.58178,1.04124,1.0542,0.99624,1,0.995,0.89912,0.53432,0.89923,1.00493,0.000222336,0.000222336,0.000222336
60,4117.9,0.56585,1.13028,1.04893,0.99546,1,0.995,0.88891,0.56747,0.9321,1.03247,0.000201531,0.000201531,0.000201531
61,4184.93,0.63093,1.23327,1.08447,0.9945,1,0.995,0.88528,0.54828,0.95949,0.99729,0.000180726,0.000180726,0.000180726
62,4252.85,0.55512,1.04899,0.9358,0.99393,1,0.995,0.88674,0.52615,0.9915,0.96783,0.000159922,0.000159922,0.000159922
63,4320.25,0.57223,1.09718,1.03513,0.99356,1,0.995,0.88919,0.48738,0.97357,0.92405,0.000139117,0.000139117,0.000139117
64,4385.4,0.55277,1.02031,1.02702,0.99455,1,0.995,0.90833,0.41269,0.9159,0.8569,0.000118313,0.000118313,0.000118313
65,4448.99,0.50856,0.97625,1.0049,0.99496,1,0.995,0.91704,0.38301,0.87814,0.84153,9.75082e-05,9.75082e-05,9.75082e-05
66,4510.1,0.49774,0.92394,1.03272,0.99543,1,0.995,0.91796,0.38215,0.85479,0.844,7.67037e-05,7.67037e-05,7.67037e-05
67,4576.85,0.49979,0.89541,1.02147,0.99583,1,0.995,0.92496,0.38079,0.83586,0.84762,5.58991e-05,5.58991e-05,5.58991e-05
68,4642.08,0.47088,0.94748,0.96402,0.99535,1,0.995,0.93073,0.37468,0.81351,0.84732,3.50946e-05,3.50946e-05,3.50946e-05
